SOE_18,COMNAME,Fed_Managed
Other,NA,NA
Other,NA,NA
Other,NA,NA
Other,NA,NA
Other,NA,NA
Other,NA,NA
Other,NA,NA
Other,NA,NA
Other,NA,NA
Other,NA,NA
Other,NA,NA
Other,NA,NA
Other,NA,NA
Other,NA,NA
Other,NA,NA
Other,NA,NA
Other,NA,NA
Other,NA,NA
Other,ACADEMY EEL,NA
Piscivore,ACADIAN REDFISH,NEFMC
Other,AESOP SHRIMP,NA
Other,AFRICAN POMPANO,NA
Other,ALBACORE,NA
Planktivore,ALEWIFE,NA
Other,ALLIGATORFISH,NA
Other,ALMACO JACK,NA
Other,AMBERJACK,NA
Other,AMERICAN EEL,NA
Benthivore,AMERICAN LOBSTER,NA
Benthivore,AMERICAN PLAICE,NEFMC
Benthivore,AMERICAN PLAICE,NEFMC
Benthivore,AMERICAN PLAICE,NEFMC
Other,AMERICAN SAND LANCE,NA
Planktivore,AMERICAN SHAD,NA
Other,ANCHOR TILEFISH,NA
Other,ANCHOVY UNCL,NA
Other,ANGLEFIN WHIFF,NA
Other,ARCTIC EELPOUT,NA
Other,ARCTIC EUALID,NA
Other,ARCTIC SURFCLAM,NA
Other,ARCTIC SURFCLAM CLAPPER,NA
Other,ARMORED SEAROBIN,NA
Other,ARROW SQUID,NA
Other,ATLANTIC ANGEL SHARK,NA
Other,ATLANTIC ARGENTINE,NA
Other,ATLANTIC BATFISH,NA
Other,ATLANTIC BONITO,NA
Other,ATLANTIC BRIEF SQUID,NA
Other,ATLANTIC BUMPER,NA
Other,ATLANTIC CALICO SCALLOP,NA
Piscivore,ATLANTIC COD,NEFMC
Piscivore,ATLANTIC COD,NEFMC
Piscivore,ATLANTIC COD,NEFMC
Piscivore,ATLANTIC COD,NEFMC
Piscivore,ATLANTIC COD,NEFMC
Piscivore,ATLANTIC COD,NEFMC
Piscivore,ATLANTIC COD,NEFMC
Piscivore,ATLANTIC COD,NEFMC
Other,ATLANTIC CROAKER,NA
Other,ATLANTIC CROAKER,NA
Other,ATLANTIC CUTLASSFISH,NA
Other,ATLANTIC FLYINGFISH,NA
Other,ATLANTIC GUITARFISH,NA
Other,ATLANTIC HAGFISH,NA
Piscivore,ATLANTIC HALIBUT,NEFMC
Planktivore,ATLANTIC HERRING,NEFMC
Planktivore,ATLANTIC HERRING,NEFMC
Planktivore,ATLANTIC MACKEREL,MAFMC
Planktivore,ATLANTIC MACKEREL,MAFMC
Planktivore,ATLANTIC MACKEREL,MAFMC
Other,ATLANTIC MIDSHIPMAN,NA
Other,ATLANTIC MOONFISH,NA
Other,ATLANTIC NEEDLEFISH,NA
Other,ATLANTIC POMFRET,NA
Other,ATLANTIC ROCK CRAB,NA
Other,ATLANTIC SALMON,NEFMC
Other,ATLANTIC SAURY,NA
Other,ATLANTIC SEASNAIL,NA
Other,ATLANTIC SHARPNOSE SHARK,NA
Other,ATLANTIC SILVERSIDE,NA
Other,ATLANTIC SOFT POUT,NA
Other,ATLANTIC SPADEFISH,NA
Other,ATLANTIC SPINY LUMPSUCKER,NA
Other,ATLANTIC STINGRAY,NA
Other,ATLANTIC STURGEON,NA
Benthos,ATLANTIC SURFCLAM,MAFMC
Other,ATLANTIC SURFCLAM CLAPPER,NA
Other,ATLANTIC THORNYHEAD,NA
Other,ATLANTIC THREAD HERRING,NA
Other,ATLANTIC TOMCOD,NA
Other,ATLANTIC TORPEDO,NA
Benthivore,ATLANTIC WOLFFISH,NA
Other,BALLOONFISH,NA
Other,BALLYHOO,NA
Other,BANDED BUTTERFLYFISH,NA
Other,BANDED DRUM,NA
Other,BANDED RUDDERFISH,NA
Other,BANDTAIL PUFFER,NA
Other,BANDTAIL SEAROBIN,NA
Other,BANDTOOTH CONGER,NA
Other,BANK BUTTERFLYFISH,NA
Other,BANK CUSK-EEL,NA
Other,BANK SEA BASS,NA
Other,BAR JACK,NA
Other,BARBFISH,NA
Benthivore,BARNDOOR SKATE,NEFMC
Other,BARRACUDA,NA
Other,BARRACUDAS,NA
Other,BARRACUDINAS,NA
Other,BARRELFISH,NA
Other,BASKING SHARK,NA
Other,BASSLET UNCL,NA
Other,BATFISH UNCL,NA
Other,BATHYAL SWIMMING CRAB,NA
Other,BAY ANCHOVY,NA
Other,BAY SCALLOP,NA
Other,BAY WHIFF,NA
Other,BEARDED BROTULA,NA
Other,BEARDFISH,NA
Other,BEARDLESS CODLING,NA
Other,BEAUGREGORY,NA
Other,BELTED SANDFISH,NA
Other,BERMUDA CHUB,NA
Other,BIG ROUGHY,NA
Other,BIG ROUGHY,NA
Other,BIGEYE,NA
Other,BIGEYE CIGARFISH,NA
Other,BIGEYE SCAD,NA
Other,BIGEYE SEAROBIN,NA
Other,BIGEYE SOLDIERFISH,NA
Other,BIGEYE THRESHER SHARK,NA
Other,BIGEYE TUNA,NA
Other,BIGHEAD SEAROBIN,NA
Other,BIGNOSE SHARK,NA
Other,BIGSCALE POMFRET,NA
Other,BLACK DOGFISH,NA
Other,BLACK DRUM,NA
Other,BLACK GEMFISH,NA
Other,BLACK GROUPER,NA
Other,BLACK MARLIN,NA
Benthivore,BLACK SEA BASS,MAFMC
Benthivore,BLACK SEA BASS,MAFMC
Other,BLACKBAR SOLDIERFISH,NA
Planktivore,BLACKBELLY ROSEFISH,NA
Other,BLACKCHEEK TONGUEFISH,NA
Other,BLACKEAR BASS,NA
Other,BLACKEAR WRASSE,NA
Other,BLACKEDGE MORAY,NA
Other,BLACKFIN GOOSEFISH,NA
Other,BLACKFIN SNAPPER,NA
Other,BLACKFIN TUNA,NA
Other,BLACKLINE TILEFISH,NA
Other,BLACKMOUTH BASS,NA
Other,BLACKMOUTHED ALFONSIN,NA
Other,BLACKNOSE SHARK,NA
Other,BLACKSPOTTED STICKLEBACK,NA
Other,BLACKTIP SHARK,NA
Other,BLACKWING SEAROBIN,NA
Other,BLADDER WRACK,NA
Other,BLOODWORMS,NA
Other,BLOTCHED CUSK-EEL,NA
Other,BLOTCHED SWIMMING CRAB,NA
Other,BLUE ANGELFISH,NA
Benthivore,BLUE CRAB,NA
Other,BLUE HAKE,NA
Other,BLUE MARLIN,NA
Benthos,BLUE MUSSEL,NA
Other,BLUE PARROTFISH,NA
Other,BLUE RUNNER,NA
Other,BLUE SHARK,NA
Other,BLUE TANG,NA
Planktivore,BLUEBACK HERRING,NA
Apex Predator,BLUEFIN TUNA,NA
Piscivore,BLUEFISH,MAFMC
Piscivore,BLUEFISH,MAFMC
Piscivore,BLUEFISH,MAFMC
Other,BLUELINE TILEFISH,MAFMC
Other,BLUELIP PARROTFISH,NA
Other,BLUESPOTTED CORNETFISH,NA
Other,BLUESPOTTED SEAROBIN,NA
Other,BLUNTHEAD PUFFER,NA
Other,BLUNTNOSE FLYINGFISH,NA
Other,BLUNTNOSE JACK,NA
Other,BLUNTNOSE SMOOTHHEAD,NA
Other,BLUNTNOSE STINGRAY,NA
Other,BOA DRAGONFISH,NA
Other,BOARFISH UNCL,NA
Other,BOBTAIL UNCL,NA
Other,BONEFISH,NA
Other,BONNETHEAD SHARK,NA
Other,BOREAL ASTERIAS,NA
Other,BOX CRAB UNCL,NA
Other,BRIDLE CARDINALFISH,NA
Other,BRISTLED LONGBEAK,NA
Other,BROAD FLOUNDER,NA
Other,BROADBAND DOGFISH,NA
Other,BROWN DRIFTFISH,NA
Other,BROWN ROCK SHRIMP,NA
Other,BROWN SHRIMP,NA
Other,BROWN TROUT,NA
Other,BUCKTOOTH PARROTFISH,NA
Other,BULL PIPEFISH,NA
Other,BULL SHARK,NA
Other,BULLET MACKEREL,NA
Other,BULLEYE,NA
Other,BULLHEADS,NA
Other,BULLNOSE RAY,NA
Planktivore,BUTTERFISH,MAFMC
Other,BUTTERFISH UNCL,NA
Other,"BUTTERFISH,GULF",NA
Other,BUTTERFLYFISH UNCL,NA
Other,CAESAR GRUNT,NA
Other,CALICO BOX CRAB,NA
Other,CALICO CRAB UNCL,NA
Benthivore,CANCER CRAB UNCL,NA
Other,CAPELIN,NA
Other,CARDINAL SOLDIERFISH,NA
Other,CARDINALFISH UNCL,NA
Other,CARIBBEAN LANTERNSHARK,NA
Other,CARIBBEAN SPINY LOBSTER,NA
Other,CAROLINA HAKE,NA
Other,CARP,NA
Other,"CATFISH,BLUE",NA
Other,"CATFISH,CHANNEL",NA
Other,"CATFISH,FLATHEAD",NA
Other,"CATFISH,WHITE",NA
Other,CATFISHES (FRESHWATER),NA
Other,CATFISHES (SEA),NA
Other,CERO,NA
Benthivore,CHAIN DOGFISH,NA
Other,CHAIN PIPEFISH,NA
Other,CHANNEL FLOUNDER,NA
Benthos,CHANNELED WHELK,NA
Other,CHECKERED PUFFER,NA
Other,CHUB MACKEREL,NA
Other,"CLAM,BLOOD ARC",NA
Other,"CLAM,RAZOR,ATLANTIC",NA
Other,"CLAM,SOFT",NA
